Count,Action_Type,BAP_Type,County_Area_Organisation,BAP,Action,Action type,Notes,Relevant,Sites
341,Restoration,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Fertiliser (rock phosphate) spread on peat deposition area reinstatement  - only spread under certain conditions and measure will be implemeted to protect waterbodies,Restore and rehabilitate peatland habitats,Constuction,*,AD; CL; ME; MO
342,Invasive species,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Digging out the roots of invasive Rhododendron,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Operation,*,All
343,Invasive species,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Direct stump treatment by painting or spot spraying freshly cut low stumps with a herbicide immediately after being cut,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Operation,*,All
344,Invasive species,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,"Stem injection - cut main stem, hole drilled, targeted application of glyphosate (25% solution)","Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Rhododendron may persist in situ for 10-15 years,*,All
345,Invasive species,Organisational,Bord na Mona/Tobin,Oweninny Windfarm Phase 3 Biodiversity Enhancement Plan,Spray rhododendron stump regrowth and seedlings with suitable herbicide,"Remove invasive species from the site, adhering to correct removal methods to reduce risk of spread",Operation,*,All
346,Biodiversity awareness (internal),Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,"Led by a biodiversity team, they will deliver regular updates and educational supports on biodiversity to all relevant internal stakeholders within Irish Water. This will include on-site guidance and advice, workshops, and presenations, publication of education/information materials, and ongoing social media updates regarding current developments",Promote engagement from all staff with biodiversity ,,*,All
347,Biodiversity awareness (external),Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,"Working with partners (such as An Taisce), and local Tidy Towns groups and community groups, will use flagship sites to deliver commuity and school education programmes",Implement an education programme with local schools,,*,All
348,Management ,Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,Irish Water is a key partners in the new All-Ireland Pollinator Plan (2021-2025) and has formally committed to implementing and reporting on the AIPP actions.,Manage areas in a pollinator-friendly manner and report to the AIPP,,*,All
349,Biodiversity monitoring,Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,"Irish Water will establish monitoring programmes to demonstrate the success of the AIPP actions, encouraging personnel to play a practive role",Establish monitoring for species/habitats that are under threat or keystone species,,*,All
350,Restoration,Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,Irish Water will identify sites within their ownership suitable for riparian woodland and implement appropriate tree-planting schemes,Restore and improve wetland and waterbody habitats,,*,All
351,Biodiversity awareness (internal),Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,Irish Water will provide training and guidance to relevant personnel on the identification and eradication of invasive species,Provide training to staff on biodiversity & best practice,,*,All
352,Data management,Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,Irish Water will develop a database for recording and monitoring infestations of invasive species at our sites,Provide a central database for biodiversity data to be stored and easily accessed,,*,All
353,Biodiversity awareness (external),Organisational,Uisce Eireann/Irish Water,Irish Water's Biodiversity Action Plan,"Irish Water will work with local authorities, Tidy Town and other local community environmental groups where possible. They will devleop biodiversity actions to align with and support local biodiversity projects and initiatives, such as those ongoing as part of the Environmental and Nature Fund (The Community Foundation for Ireland).",Work with the local community to promote biodiversity projects on site and within the local area,,*,All
354,Biodiversity monitoring,Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Carry out targeted surveys in appropriate areas for species of conservation interest,Undertake surveys to identify habitats and species to understand what is on site,,*,All
355,Biodiversity monitoring/Citizen science,Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Explore how volunteers and citizen science and new technologies can be incorporated into the monitoring of BnM bogs,Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,,*,All
356,Invasive species,Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Continue to monitor and implement control measures for invasive species working with local authorities and nature conservation groups,Develop a plan for monitoring and managing invasive species,,*,All
357,Restoration,Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Consider the rehabilitation plans in the context of adjoining land-uses,Identify opportunities to restore habtiats ,,*,All
358,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Promote increased participation in the conservation of our natural heritage by supporting community-led biodiversity projects ,Work with the local community to promote biodiversity projects on site and within the local area,,*,All
359,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Promote community engagement,Work with the local community to promote biodiversity projects on site and within the local area,,*,All
360,Biodiversity awareness (internal),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Continue to organise an annual seminar and/or workshop with a field trip to present updates on biodiversity work,Promote engagement from all staff with biodiversity ,,*,All
361,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,"As new biodiversity sites ae identified, establish appropriate signage at biodiversity areas with information on biodiversity features, management and projects at each site",Develop biodiversity signage on site to inform visitors of the biodiversity present,,*,All
362,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Continue to engage with relevant bodies and interested parties,Work with the local community to promote biodiversity projects on site and within the local area,,*,All
363,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Interact with local communities and schools to identify potential local needs,Implement an education programme with local schools,,*,All
364,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Organise field trips and workshops for the public in conjunction with established Biodiversity & Heritage programmes,"Host/promote events for the community on biodiversity topics, e.g., talks & walks, tours, Heritage week, workshops, etc. ",,*,All
365,Biodiversity awareness (external),Organisational,Bord na Mona,Bord na Mona Biodiversity Action Plan 2016-2021,Work with An Taisce Green Schools initiative,Implement an education programme with local schools,,*,All
366,Biodiversity awareness (internal),NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"Relevant Departments and Agencies will implement long term measures to support biodiversity conservation and restoration through the Infrastructure, Climate and Nature Fund","Ensure biodiversity it incorporated into all aspects of work, including landowners ",Obj1,*,All
367,Data management,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,The Heritage Council will publish upgraded guidelines for the production of Local Biodiversity Action Plans and their integration with City and County Development Plans,Ensure data collected meets data standards and follows relevant guidelines,Obj1,*,All
368,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,All Local Authorities will have a BAP adopted by the end of 2026 which is subject to regular review and revision processes in line with relevant guideline standards,Manage in a biodiversity-friendly way - creating space for biodiversity,Obj1,*,All
369,Citizen science,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"The NBDC will produce and implement a Biodiversity Citizen Science Strategy to promote citizen engagement with both terrestrial, freshwater and marine biodiversity and to develop a greater awareness of local biodiversity","Promote initiatives that involve citizen science, especially involving the local community",Obj1,*,All
370,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,Business for Biodiversity Ireland will engage with business to enhance private sector action on biodiversity,Manage in a biodiversity-friendly way - creating space for biodiversity,Obj1,*,All
371,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,DAFM will review the EIA (Agriculture) Regulations,Encourage farmers to engage with biodiversity-friendly management,Obj1,*,CA; RI; RA; TE
372,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWS will complete the selection and notification of sites for the protection of Annex habitats and species listed on the EU Habitats and Birds Directives,Manage in a positive way for native species,Obj2,*,All
373,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWS will publish and implement Species Action or Threat Response Plans with population targets for threatened and endangered species that are in unfavourable status or have declining trends.,Monitor species in line with relevant Species Action Plans or Threat Response Plans,Obj2,*,All
374,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWS and other relevant organisations will support species and habitat-specific conservation programmes,Manage in a positive way for native species,Obj2,*,All
375,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"DAFM will ensure that farmers are incentivised to create and maintain habitats on farms as part of Ireland's CAP SP 2023-2027 and the Rural Development Plan, which sits under the CAP SP",Encourage farmers to engage with biodiversity-friendly management,Obj2,*,All
376,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,DAFM & relevant stakeholders will support and incentivise results-based Agri-Climate Rural Environment Scheme (ACRES) and associated Farm Sustainability Plans as part of Ireland's CAP SP,Encourage farmers to engage with biodiversity-friendly management,Obj2,*,All
377,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"NPWS and DAFM will support Farming for Nature intiatives that specifically enhance ecological connectivity in the landscape, including intiatives in Northern Ireland thorugh the Shared Island Fund",Encourage farmers to engage with biodiversity-friendly management,Obj2,*,All
378,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"DAFM and other relevant stakeholders will support farmers to protect, restore and create on-farm biodiversity rich landscape features",Encourage farmers to engage with biodiversity-friendly management,Obj2,*,All
379,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"DAFM, Local Authorities and other relevant stakeholders will implement existing new measures to reduce chemical pesticide use in line with the EU Regulatory framework for pesticides","Minimise the use of chemical pesticides, insecticides, herbicides, fungicides, rodenticides, etc. on site",Obj2,*,All
380,Restoration,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,Coillte will enhance and restore existing biodiversity on it's estate,Identify opportunities to restore habtiats ,Obj2,*,AD; BA; CL; ME
381,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,Coillte will increase the area of its estate to be managed primarily for nature from 20% to 30% in the short-term by 2025,Manage in a biodiversity-friendly way - creating space for biodiversity,Obj2,*,AD; BA; CL; ME
382,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"Coillte will increase the area of its forest estate being managed primarily for nature from 20% to 50% in the long-term by enhancing and restoring biodiversity and planting new forests, half of which will be native woodlands",Manage in a biodiversity-friendly way - creating space for biodiversity,Obj2,*,AD; BA; CL; ME
383,Restoration,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"NPWS will implement the restoration/rewetting actions set out in the National raised Bog Special Areas of Conservation Management 2017-2022, in Ireland's 2023 Climate Action Plan and will also escalate blanket bog restoration",Restore and rehabilitate peatland habitats,Obj2,*,AD; CL; ME; MO
384,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"To support the National Climate Objective of achieving a climate resilient, biodiversity rich, environmentally sustainable and climate neutral economy, DECC, DAFM, DHLGH, Local Authorities and Climate Regional Offices will promote terrestrial nature-based solutions in national, regional and local rural and urban programmes",Manage in a biodiversity-friendly way - creating space for biodiversity,Obj2,*,All
385,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"OPW will ensure all significant drainage, including both initial drainage will be assessed for its implication for biodiversity particularly for wetlalnds",Manage in a biodiversity-friendly way - creating space for biodiversity,Obj2,*,All
386,Restoration,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"DHLFH, in collaboration with DAFM, OPW, and DECC and other relevant bodies will identify synergies between nature restoration and climate change mitigation/adaptation and disaster prevention, and prioritise these measures",Identify opportunities to restore habtiats ,Obj2,*,All
387,Invasive species,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NBDC will continue to produce Risk Assessments for potential invasive alien species,Raise awareness of invasive species and keep up to date on updates from NBDC,Obj2,*,All
388,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"The High-Level National Bioeconomy Implementation Group, under DECC and DAFM will make recommendations for the sustainable use and protection of biodiversity and natural capital as part of the national Bioeconomy Action Plan and ensure alignment with the National Policy Statement on the Bioeconomy",Use a natural-capital accounting approach to manage land for biodiversity,Obj3,*,All
389,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,Business for Biodiversity Ireland will produce guidance for Irish businesses on relevant international initiatives such as the Taskforce for Nature-related Financial Disclosures and Science-based targets for nature etc.,Use a natural-capital accounting approach to manage land for biodiversity,Obj3,*,All
390,Biodiversity monitoring/Citizen science,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,Seek to establish nature conservation volunteering opportunities through collaborative partnerships.,Establish/Engage the local community or volunteer group that are interested in biodiversity monitoring,Obj3,*,All
391,Management ,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"All Public Authorities and private sector bodies move towards no net loss of biodiversity through strategies, planning, mitigation measures, appropriate offsetting and/or investment in Blue-Green infrastructure.",Use a natural-capital accounting approach to manage land for biodiversity,Obj3,*,All
392,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,The EPA with the support of DHLGH/NPWS will commission an assessment of the feasibility of an integrated site and monitoring data solution to make environmental monitoring data relating to environmental authorisations and associated monitoring data collected pre and post authorisations,Establish monitoring for species/habitats that are under threat or keystone species,Obj4,*,All
393,Data management,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWS and other relvant bodies will ensure that biodiversity and related data adheres to national open data policy,Provide a central database for biodiversity data to be stored and easily accessed,Obj4,*,All
394,Data management,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"NBDC, in partnership with NPWS will examine the integration of habitat mapping with Land Cover mapping and assess data gaps",Make use of open biodiversity data to inform decisions ,Obj4,*,All
395,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWS and relevant organisations will develop a site-based monitoring programme to monitor changes in biodiversity over time,Establish monitoring for species/habitats that are under threat or keystone species,Obj4,*,All
396,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"Collaboration across Government to support biodiversity monitoring will be enhanced, in particular to support the biodiversity-related reporting requirements for the WFD, MSFD, NECD, EU Biodiversity Strategy and CBD",Establish monitoring for species/habitats that are under threat or keystone species,Obj4,*,All
397,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"NPWS, with input from relevant organisations will publish Red List assessments for new species groups and update existing Red Lists to identify conservation priority terrestrial and marine species and knowledge gaps for prioritised species",Monitor species in line with relevant Species Action Plans or Threat Response Plans,Obj4,*,All
398,Invasive species,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"The NBDC will, with relevant state partners, devide and undertake a systematic baseline survey for priority invasive species and hotspot introduction sites with subsequent monitoring. This will be state-led and supported by Citizen Science engagement programmes",Raise awareness of invasive species and keep up to date on updates from NBDC,Obj4,*,All
399,Data management,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,DAFM and other relevant stakeholders will collaborate to establish the programme which will improve availability of data to better assess the impact of existing policies and better inform future policy,Make use of open biodiversity data to inform decisions ,Obj4,*,All
400,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"The CSO will collaborate to advance ecosystem accounting and reporting methods and standards in ireland, in line with the SEEA-EA framework",Monitor habitat condition to update ecosystem accounts ,Obj4,*,All
401,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,Relevant bodies will develop appropriate guidance for key sectors on the use of NCA,Monitor habitat condition to update ecosystem accounts ,Obj4,*,All
402,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,CSO will develop ecosystem accounts for Ireland,Monitor habitat condition to update ecosystem accounts ,Obj4,*,All
403,Biodiversity monitoring,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWs will maintain biodiversity as a focus area under the Shared Island initiative and incentivise groups to avail of joint funding opportunities such as EU Life Peace Plus and INTERREG,Establish monitoring for species/habitats that are under threat or keystone species,Obj5,*,All
404,Invasive species,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,NPWS and other relevant stakeholders will deliver on the National Invasive Species Management Plan (forthcoming) and continue to cooperatre with NI authorities on identifying and delivering on an all-island actions to control and manage IAS,Raise awareness of invasive species and keep up to date on updates from NBDC,Obj5,*,All
405,Invasive species,NBAP,GoI/NPWS,Ireland's 4th National Biodiversity Action Plan 2023-2030,"NPWS, NMI and NBDC will ensure that Ireland increases the quantity and quality of its contributions to European and international biodiversity data hubs and networks such as the Global Biodiversity Information Facility and the EEA",Raise awareness of invasive species and keep up to date on updates from NBDC,Obj5,*,All
